year,month,phi_MV,date
2007,6,509.0,2007-06-15
2007,7,498.2,2007-07-15
2007,8,487.9,2007-08-15
2007,9,478.0,2007-09-15
2007,10,468.7,2007-10-15
2007,11,459.8,2007-11-15
2007,12,451.6,2007-12-15
2008,1,443.8,2008-01-15
2008,2,436.7,2008-02-15
2008,3,430.2,2008-03-15
2008,4,424.2,2008-04-15
2008,5,418.9,2008-05-15
2008,6,414.2,2008-06-15
2008,7,410.2,2008-07-15
2008,8,406.9,2008-08-15
2008,9,404.2,2008-09-15
2008,10,402.1,2008-10-15
2008,11,400.8,2008-11-15
2008,12,400.1,2008-12-15
2009,1,400.1,2009-01-15
2009,2,400.8,2009-02-15
2009,3,402.1,2009-03-15
2009,4,404.2,2009-04-15
2009,5,406.9,2009-05-15
2009,6,410.2,2009-06-15
2009,7,414.2,2009-07-15
2009,8,418.9,2009-08-15
2009,9,424.2,2009-09-15
2009,10,430.2,2009-10-15
2009,11,436.7,2009-11-15
2009,12,443.8,2009-12-15
2010,1,451.6,2010-01-15
2010,2,459.8,2010-02-15
2010,3,468.7,2010-03-15
2010,4,478.0,2010-04-15
2010,5,487.9,2010-05-15
2010,6,498.2,2010-06-15
2010,7,509.0,2010-07-15
2010,8,520.2,2010-08-15
2010,9,531.8,2010-09-15
2010,10,543.9,2010-10-15
2010,11,556.2,2010-11-15
2010,12,568.9,2010-12-15
2011,1,581.9,2011-01-15
2011,2,595.2,2011-02-15
2011,3,608.7,2011-03-15
2011,4,622.4,2011-04-15
2011,5,636.2,2011-05-15
2011,6,650.3,2011-06-15
2011,7,664.4,2011-07-15
2011,8,678.6,2011-08-15
2011,9,692.9,2011-09-15
2011,10,707.1,2011-10-15
2011,11,721.4,2011-11-15
2011,12,735.6,2011-12-15
2012,1,749.7,2012-01-15
2012,2,763.8,2012-02-15
2012,3,777.6,2012-03-15
2012,4,791.3,2012-04-15
2012,5,804.8,2012-05-15
2012,6,818.1,2012-06-15
2012,7,831.1,2012-07-15
2012,8,843.8,2012-08-15
2012,9,856.1,2012-09-15
2012,10,868.2,2012-10-15
2012,11,879.8,2012-11-15
2012,12,891.0,2012-12-15
2013,1,901.8,2013-01-15
2013,2,912.1,2013-02-15
2013,3,922.0,2013-03-15
2013,4,931.3,2013-04-15
2013,5,940.2,2013-05-15
2013,6,948.4,2013-06-15
2013,7,956.2,2013-07-15
2013,8,963.3,2013-08-15
2013,9,969.8,2013-09-15
2013,10,975.8,2013-10-15
2013,11,981.1,2013-11-15
2013,12,985.8,2013-12-15
2014,1,989.8,2014-01-15
2014,2,993.1,2014-02-15
2014,3,995.8,2014-03-15
2014,4,997.9,2014-04-15
2014,5,999.2,2014-05-15
2014,6,999.9,2014-06-15
2014,7,999.9,2014-07-15
2014,8,999.2,2014-08-15
2014,9,997.9,2014-09-15
2014,10,995.8,2014-10-15
2014,11,993.1,2014-11-15
2014,12,989.8,2014-12-15
2015,1,985.8,2015-01-15
2015,2,981.1,2015-02-15
2015,3,975.8,2015-03-15
2015,4,969.8,2015-04-15
2015,5,963.3,2015-05-15
2015,6,956.2,2015-06-15
2015,7,948.4,2015-07-15
2015,8,940.2,2015-08-15
2015,9,931.3,2015-09-15
2015,10,922.0,2015-10-15
2015,11,912.1,2015-11-15
2015,12,901.8,2015-12-15
2016,1,891.0,2016-01-15
2016,2,879.8,2016-02-15
2016,3,868.2,2016-03-15
2016,4,856.1,2016-04-15
2016,5,843.8,2016-05-15
2016,6,831.1,2016-06-15
2016,7,818.1,2016-07-15
2016,8,804.8,2016-08-15
2016,9,791.3,2016-09-15
2016,10,777.6,2016-10-15
2016,11,763.8,2016-11-15
2016,12,749.7,2016-12-15
2017,1,735.6,2017-01-15
2017,2,721.4,2017-02-15
2017,3,707.1,2017-03-15
2017,4,692.9,2017-04-15
2017,5,678.6,2017-05-15
2017,6,664.4,2017-06-15
2017,7,650.3,2017-07-15
2017,8,636.2,2017-08-15
2017,9,622.4,2017-09-15
2017,10,608.7,2017-10-15
2017,11,595.2,2017-11-15
2017,12,581.9,2017-12-15
2018,1,568.9,2018-01-15
2018,2,556.2,2018-02-15
2018,3,543.9,2018-03-15
2018,4,531.8,2018-04-15
2018,5,520.2,2018-05-15
2018,6,509.0,2018-06-15
2018,7,498.2,2018-07-15
2018,8,487.9,2018-08-15
2018,9,478.0,2018-09-15
2018,10,468.7,2018-10-15
2018,11,459.8,2018-11-15
2018,12,451.6,2018-12-15
2019,1,443.8,2019-01-15
2019,2,436.7,2019-02-15
2019,3,430.2,2019-03-15
2019,4,424.2,2019-04-15
2019,5,418.9,2019-05-15
2019,6,414.2,2019-06-15
2019,7,410.2,2019-07-15
2019,8,406.9,2019-08-15
2019,9,404.2,2019-09-15
2019,10,402.1,2019-10-15
2019,11,400.8,2019-11-15
2019,12,400.1,2019-12-15
2020,1,400.1,2020-01-15
2020,2,400.8,2020-02-15
2020,3,402.1,2020-03-15
2020,4,404.2,2020-04-15
2020,5,406.9,2020-05-15
2020,6,410.2,2020-06-15
2020,7,414.2,2020-07-15
2020,8,418.9,2020-08-15
2020,9,424.2,2020-09-15
2020,10,430.2,2020-10-15
2020,11,436.7,2020-11-15
2020,12,443.8,2020-12-15
2021,1,451.6,2021-01-15
2021,2,459.8,2021-02-15
2021,3,468.7,2021-03-15
2021,4,478.0,2021-04-15
2021,5,487.9,2021-05-15
2021,6,498.2,2021-06-15
2021,7,509.0,2021-07-15
2021,8,520.2,2021-08-15
2021,9,531.8,2021-09-15
2021,10,543.9,2021-10-15
2021,11,556.2,2021-11-15
2021,12,568.9,2021-12-15
2022,1,581.9,2022-01-15
2022,2,595.2,2022-02-15
2022,3,608.7,2022-03-15
2022,4,622.4,2022-04-15
2022,5,636.2,2022-05-15
2022,6,650.3,2022-06-15
2022,7,664.4,2022-07-15
2022,8,678.6,2022-08-15
2022,9,692.9,2022-09-15
2022,10,707.1,2022-10-15
2022,11,721.4,2022-11-15
2022,12,735.6,2022-12-15
2023,1,749.7,2023-01-15
2023,2,763.8,2023-02-15
2023,3,777.6,2023-03-15
2023,4,791.3,2023-04-15
2023,5,804.8,2023-05-15
2023,6,818.1,2023-06-15
2023,7,831.1,2023-07-15
2023,8,843.8,2023-08-15
2023,9,856.1,2023-09-15
2023,10,868.2,2023-10-15
2023,11,879.8,2023-11-15
2023,12,891.0,2023-12-15
2024,1,901.8,2024-01-15
2024,2,912.1,2024-02-15
2024,3,922.0,2024-03-15
2024,4,931.3,2024-04-15
2024,5,940.2,2024-05-15
2024,6,948.4,2024-06-15
2024,7,956.2,2024-07-15
2024,8,963.3,2024-08-15
2024,9,969.8,2024-09-15
2024,10,975.8,2024-10-15
2024,11,981.1,2024-11-15
2024,12,985.8,2024-12-15
2025,1,989.8,2025-01-15
2025,2,993.1,2025-02-15
2025,3,995.8,2025-03-15
2025,4,997.9,2025-04-15
2025,5,999.2,2025-05-15
2025,6,999.9,2025-06-15
2025,7,999.9,2025-07-15
2025,8,999.2,2025-08-15
2025,9,997.9,2025-09-15
2025,10,995.8,2025-10-15
2025,11,993.1,2025-11-15
2025,12,989.8,2025-12-15
2026,1,985.8,2026-01-15
2026,2,981.1,2026-02-15
2026,3,975.8,2026-03-15
2026,4,969.8,2026-04-15
2026,5,963.3,2026-05-15
2026,6,956.2,2026-06-15
2026,7,948.4,2026-07-15
2026,8,940.2,2026-08-15
2026,9,931.3,2026-09-15
2026,10,922.0,2026-10-15
2026,11,912.1,2026-11-15
2026,12,901.8,2026-12-15
2027,1,891.0,2027-01-15
2027,2,879.8,2027-02-15
2027,3,868.2,2027-03-15
2027,4,856.1,2027-04-15
2027,5,843.8,2027-05-15
2027,6,831.1,2027-06-15
2027,7,818.1,2027-07-15
2027,8,804.8,2027-08-15
2027,9,791.3,2027-09-15
2027,10,777.6,2027-10-15
2027,11,763.8,2027-11-15
2027,12,749.7,2027-12-15
2028,1,735.6,2028-01-15
2028,2,721.4,2028-02-15
2028,3,707.1,2028-03-15
2028,4,692.9,2028-04-15
2028,5,678.6,2028-05-15
2028,6,664.4,2028-06-15
2028,7,650.3,2028-07-15
2028,8,636.2,2028-08-15
2028,9,622.4,2028-09-15
2028,10,608.7,2028-10-15
2028,11,595.2,2028-11-15
2028,12,581.9,2028-12-15
2029,1,568.9,2029-01-15
2029,2,556.2,2029-02-15
2029,3,543.9,2029-03-15
2029,4,531.8,2029-04-15
2029,5,520.2,2029-05-15
2029,6,509.0,2029-06-15
2029,7,498.2,2029-07-15
2029,8,487.9,2029-08-15
2029,9,478.0,2029-09-15
2029,10,468.7,2029-10-15
2029,11,459.8,2029-11-15
2029,12,451.6,2029-12-15
2030,1,443.8,2030-01-15
2030,2,436.7,2030-02-15
2030,3,430.2,2030-03-15
2030,4,424.2,2030-04-15
2030,5,418.9,2030-05-15
2030,6,414.2,2030-06-15
2030,7,410.2,2030-07-15
2030,8,406.9,2030-08-15
2030,9,404.2,2030-09-15
2030,10,402.1,2030-10-15
2030,11,400.8,2030-11-15
2030,12,400.1,2030-12-15
