day,date,dose_mGy_day,H_mSv_day
115,2012-03-20,1.8955,4.857
116,2012-03-21,1.8336,4.4382
117,2012-03-22,1.625,4.8218
118,2012-03-23,2.0503,5.0495
119,2012-03-24,1.9784,5.508
120,2012-03-25,9.9277,26.357
121,2012-03-26,8.3634,29.2284
122,2012-03-27,2.0981,4.4409
123,2012-03-28,1.5821,5.2296
124,2012-03-29,1.948,4.8982
125,2012-03-30,2.243,5.8633
126,2012-03-31,1.6577,4.4212
127,2012-04-01,1.7358,4.4061
128,2012-04-02,1.8583,4.5217
129,2012-04-03,1.7474,3.7884
130,2012-04-04,1.5547,4.5571
131,2012-04-05,1.8526,4.4449
132,2012-04-06,1.6445,4.8823
133,2012-04-07,1.9271,4.9744
134,2012-04-08,1.6708,5.7124
135,2012-04-09,2.1252,5.2672
136,2012-04-10,1.6959,4.5325
137,2012-04-11,1.7807,4.3779
138,2012-04-12,1.9897,5.0466
139,2012-04-13,1.6135,4.175
140,2012-04-14,1.8819,5.6909
141,2012-04-15,2.0805,5.3773
142,2012-04-16,1.5442,4.5843
143,2012-04-17,1.874,3.986
144,2012-04-18,1.8878,5.4612
145,2012-04-19,1.9839,4.7549
146,2012-04-20,1.6124,5.4054
147,2012-04-21,1.597,4.0431
148,2012-04-22,1.936,4.5217
149,2012-04-23,1.8946,4.8125
150,2012-04-24,1.8861,4.8326
151,2012-04-25,1.9037,4.5935
152,2012-04-26,1.7149,5.1096
153,2012-04-27,1.8827,4.2965
154,2012-04-28,1.8939,4.7415
155,2012-04-29,1.7086,4.8679
156,2012-04-30,2.1833,5.0574
157,2012-05-01,1.9272,5.1523
158,2012-05-02,1.6208,4.269
159,2012-05-03,1.9608,4.0721
160,2012-05-04,1.6607,5.4246
161,2012-05-05,1.9848,4.9698
162,2012-05-06,2.0532,4.45
163,2012-05-07,1.689,5.5561
164,2012-05-08,2.0173,4.8656
165,2012-05-09,1.916,5.3772
166,2012-05-10,1.9913,4.8425
167,2012-05-11,2.189,5.8012
168,2012-05-12,1.7948,5.6543
169,2012-05-13,1.7013,4.6902
170,2012-05-14,1.6763,5.2773
171,2012-05-15,1.6899,5.1204
172,2012-05-16,1.8258,5.4683
173,2012-05-17,1.9028,4.3459
174,2012-05-18,1.8909,5.14
175,2012-05-19,1.9922,5.3191
176,2012-05-20,1.8424,3.964
177,2012-05-21,2.1075,4.2409
178,2012-05-22,1.7913,3.8291
179,2012-05-23,2.3405,4.6804
180,2012-05-24,1.9551,5.1551
181,2012-05-25,1.6823,5.5326
182,2012-05-26,1.643,4.8456
183,2012-05-27,1.9288,5.5934
184,2012-05-28,1.7989,4.1462
185,2012-05-29,1.9714,3.9907
186,2012-05-30,1.9271,4.7833
187,2012-05-31,1.8266,4.9947
188,2012-06-01,1.6842,4.7943
189,2012-06-02,1.5613,3.8156
190,2012-06-03,1.7578,4.7671
191,2012-06-04,1.9976,4.1826
192,2012-06-05,1.8794,5.1321
193,2012-06-06,1.6108,4.9863
194,2012-06-07,1.8719,4.3579
195,2012-06-08,1.9109,4.5628
196,2012-06-09,1.6774,4.3005
197,2012-06-10,1.8683,4.7799
198,2012-06-11,1.8507,5.2694
199,2012-06-12,1.6297,4.3359
200,2012-06-13,9.5292,25.2622
201,2012-06-14,9.7159,22.7747
202,2012-06-15,2.0393,4.4286
203,2012-06-16,2.0339,4.7585
204,2012-06-17,1.5865,4.312
205,2012-06-18,1.6674,4.5437
206,2012-06-19,1.9348,4.2338
207,2012-06-20,1.9345,5.755
208,2012-06-21,1.9348,4.827
209,2012-06-22,2.5489,4.4734
210,2012-06-23,1.945,4.9129
211,2012-06-24,2.0489,4.756
212,2012-06-25,2.0155,4.7037
213,2012-06-26,1.9599,5.1054
214,2012-06-27,1.782,5.1744
215,2012-06-28,1.9797,4.5548
216,2012-06-29,1.6978,4.533
217,2012-06-30,1.7964,4.6777
218,2012-07-01,1.7507,3.7028
219,2012-07-02,1.8551,4.0812
220,2012-07-03,2.2659,5.4675
221,2012-07-04,1.4964,5.6012
222,2012-07-05,1.9663,4.6902
223,2012-07-06,1.5433,5.0873
224,2012-07-07,1.7532,4.9597
225,2012-07-08,2.0404,6.2909
226,2012-07-09,1.8518,5.3485
227,2012-07-10,1.6417,4.7485
228,2012-07-11,1.7084,4.3504
229,2012-07-12,1.965,4.0373
230,2012-07-13,1.7056,4.9079
231,2012-07-14,1.8798,4.4462
232,2012-07-15,1.8484,4.1259
233,2012-07-16,1.7201,4.499
234,2012-07-17,2.2345,4.2898
235,2012-07-18,1.9566,5.6215
236,2012-07-19,1.4674,5.2341
237,2012-07-20,1.8743,4.8062
238,2012-07-21,1.7182,5.5219
239,2012-07-22,1.9968,4.8472
240,2012-07-23,1.6942,4.3957
241,2012-07-24,1.8189,5.5426
242,2012-07-25,1.9329,5.0692
243,2012-07-26,1.9993,4.3111
244,2012-07-27,1.6191,4.7184
245,2012-07-28,1.7785,4.3888
246,2012-07-29,1.7526,4.1449
247,2012-07-30,1.7198,5.2555
248,2012-07-31,2.1648,5.7284
249,2012-08-01,1.9145,4.1373
250,2012-08-02,1.608,5.0808
251,2012-08-03,2.0089,4.497
252,2012-08-04,2.2305,4.5757
