year,month,phi_MV,date
1969,5,869.0,1969-05-15
1969,6,899.8,1969-06-15
1969,7,858.9,1969-07-15
1969,8,807.2,1969-08-15
1969,9,782.4,1969-09-15
1969,10,775.9,1969-10-15
1969,11,765.8,1969-11-15
1969,12,769.3,1969-12-15
1970,1,779.4,1970-01-15
1970,2,755.8,1970-02-15
1970,3,765.5,1970-03-15
1970,4,798.3,1970-04-15
1970,5,791.0,1970-05-15
1970,6,854.7,1970-06-15
1970,7,851.3,1970-07-15
1970,8,805.1,1970-08-15
1970,9,759.8,1970-09-15
1970,10,747.9,1970-10-15
1970,11,782.8,1970-11-15
1970,12,710.1,1970-12-15
1971,1,700.5,1971-01-15
1971,2,657.9,1971-02-15
1971,3,659.1,1971-03-15
1971,4,645.1,1971-04-15
1971,5,625.7,1971-05-15
1971,6,572.8,1971-06-15
1971,7,566.2,1971-07-15
1971,8,552.1,1971-08-15
1971,9,557.5,1971-09-15
1971,10,533.5,1971-10-15
1971,11,538.9,1971-11-15
1971,12,548.3,1971-12-15
1972,1,557.3,1972-01-15
1972,2,560.9,1972-02-15
1972,3,522.2,1972-03-15
1972,4,501.5,1972-04-15
1972,5,517.2,1972-05-15
1972,6,564.8,1972-06-15
1972,7,529.4,1972-07-15
1972,8,648.2,1972-08-15
1972,9,541.8,1972-09-15
1972,10,528.9,1972-10-15
1972,11,551.0,1972-11-15
1972,12,534.3,1972-12-15
1973,1,536.7,1973-01-15
1973,2,545.2,1973-02-15
1973,3,557.3,1973-03-15
1973,4,607.3,1973-04-15
1973,5,639.4,1973-05-15
1973,6,574.8,1973-06-15
1973,7,552.0,1973-07-15
1973,8,537.7,1973-08-15
1973,9,512.3,1973-09-15
1973,10,514.9,1973-10-15
1973,11,508.7,1973-11-15
1973,12,505.8,1973-12-15
1974,1,512.9,1974-01-15
1974,2,499.2,1974-02-15
1974,3,525.2,1974-03-15
1974,4,536.7,1974-04-15
1974,5,583.2,1974-05-15
1974,6,611.4,1974-06-15
1974,7,650.4,1974-07-15
1974,8,608.2,1974-08-15
1974,9,634.7,1974-09-15
1974,10,629.6,1974-10-15
1974,11,623.9,1974-11-15
1974,12,572.3,1974-12-15
1975,1,565.5,1975-01-15
1975,2,542.9,1975-02-15
1975,3,533.0,1975-03-15
1975,4,523.3,1975-04-15
1975,5,516.5,1975-05-15
1975,6,502.8,1975-06-15
1975,7,501.9,1975-07-15
1975,8,524.2,1975-08-15
1975,9,523.8,1975-09-15
1975,10,526.0,1975-10-15
1975,11,547.0,1975-11-15
1975,12,531.9,1975-12-15
1976,1,532.3,1976-01-15
1976,2,527.0,1976-02-15
1976,3,522.0,1976-03-15
1976,4,538.1,1976-04-15
1976,5,515.1,1976-05-15
1976,6,506.7,1976-06-15
1976,7,502.5,1976-07-15
1976,8,496.4,1976-08-15
1976,9,495.4,1976-09-15
1976,10,498.5,1976-10-15
1976,11,505.0,1976-11-15
1976,12,513.3,1976-12-15
1977,1,511.6,1977-01-15
1977,2,509.1,1977-02-15
1977,3,503.6,1977-03-15
1977,4,504.5,1977-04-15
1977,5,503.5,1977-05-15
1977,6,519.9,1977-06-15
1977,7,551.3,1977-07-15
1977,8,544.4,1977-08-15
1977,9,544.7,1977-09-15
1977,10,524.1,1977-10-15
1977,11,506.0,1977-11-15
1977,12,513.7,1977-12-15
1978,1,553.0,1978-01-15
1978,2,563.5,1978-02-15
1978,3,574.0,1978-03-15
1978,4,619.4,1978-04-15
1978,5,675.6,1978-05-15
1978,6,629.3,1978-06-15
1978,7,621.6,1978-07-15
1978,8,556.7,1978-08-15
1978,9,555.9,1978-09-15
1978,10,606.0,1978-10-15
1978,11,584.3,1978-11-15
1978,12,586.0,1978-12-15
1979,1,623.1,1979-01-15
1979,2,638.8,1979-02-15
1979,3,666.4,1979-03-15
1979,4,726.5,1979-04-15
1979,5,694.4,1979-05-15
1979,6,755.4,1979-06-15
1979,7,752.2,1979-07-15
1979,8,818.8,1979-08-15
1979,9,795.5,1979-09-15
1979,10,745.7,1979-10-15
1979,11,747.5,1979-11-15
1979,12,695.2,1979-12-15
1980,1,715.8,1980-01-15
1980,2,729.1,1980-02-15
1980,3,689.1,1980-03-15
1980,4,735.3,1980-04-15
1980,5,737.3,1980-05-15
1980,6,813.6,1980-06-15
1980,7,817.6,1980-07-15
1980,8,801.8,1980-08-15
1980,9,803.0,1980-09-15
1980,10,855.7,1980-10-15
1980,11,912.5,1980-11-15
1980,12,912.2,1980-12-15
1981,1,829.8,1981-01-15
1981,2,877.2,1981-02-15
1981,3,889.0,1981-03-15
1981,4,914.0,1981-04-15
1981,5,951.1,1981-05-15
1981,6,861.7,1981-06-15
1981,7,847.0,1981-07-15
1981,8,846.5,1981-08-15
1981,9,807.6,1981-09-15
1981,10,908.1,1981-10-15
1981,11,892.0,1981-11-15
1981,12,826.2,1981-12-15
1982,1,778.8,1982-01-15
1982,2,878.1,1982-02-15
1982,3,788.9,1982-03-15
1982,4,764.9,1982-04-15
1982,5,736.4,1982-05-15
1982,6,880.0,1982-06-15
1982,7,1012.7,1982-07-15
1982,8,1007.3,1982-08-15
1982,9,1088.4,1982-09-15
1982,10,1008.2,1982-10-15
1982,11,971.1,1982-11-15
1982,12,1031.3,1982-12-15
1983,1,923.7,1983-01-15
1983,2,867.2,1983-02-15
1983,3,811.8,1983-03-15
1983,4,802.6,1983-04-15
1983,5,890.3,1983-05-15
1983,6,830.3,1983-06-15
1983,7,767.6,1983-07-15
1983,8,771.2,1983-08-15
1983,9,751.3,1983-09-15
1983,10,740.9,1983-10-15
1983,11,736.4,1983-11-15
1983,12,737.6,1983-12-15
1984,1,712.5,1984-01-15
1984,2,729.3,1984-02-15
1984,3,767.9,1984-03-15
1984,4,793.0,1984-04-15
1984,5,859.1,1984-05-15
1984,6,801.7,1984-06-15
1984,7,778.3,1984-07-15
1984,8,741.0,1984-08-15
1984,9,724.3,1984-09-15
1984,10,724.8,1984-10-15
1984,11,733.6,1984-11-15
1984,12,723.4,1984-12-15
1985,1,707.6,1985-01-15
1985,2,664.0,1985-02-15
1985,3,650.4,1985-03-15
1985,4,631.7,1985-04-15
1985,5,625.8,1985-05-15
1985,6,588.4,1985-06-15
1985,7,595.9,1985-07-15
1985,8,593.9,1985-08-15
1985,9,562.4,1985-09-15
1985,10,561.5,1985-10-15
1985,11,549.2,1985-11-15
1985,12,556.6,1985-12-15
1986,1,558.5,1986-01-15
1986,2,621.4,1986-02-15
1986,3,571.2,1986-03-15
1986,4,521.5,1986-04-15
1986,5,510.4,1986-05-15
1986,6,503.5,1986-06-15
1986,7,497.6,1986-07-15
1986,8,497.9,1986-08-15
1986,9,493.8,1986-09-15
1986,10,479.7,1986-10-15
1986,11,518.8,1986-11-15
1986,12,480.8,1986-12-15
1987,1,459.7,1987-01-15
1987,2,438.5,1987-02-15
1987,3,440.5,1987-03-15
1987,4,447.5,1987-04-15
1987,5,465.5,1987-05-15
1987,6,504.7,1987-06-15
1987,7,519.5,1987-07-15
1987,8,542.8,1987-08-15
1987,9,567.6,1987-09-15
1987,10,563.3,1987-10-15
1987,11,590.1,1987-11-15
1987,12,590.8,1987-12-15
1988,1,660.4,1988-01-15
1988,2,637.6,1988-02-15
1988,3,624.5,1988-03-15
1988,4,640.0,1988-04-15
1988,5,626.8,1988-05-15
1988,6,636.7,1988-06-15
1988,7,679.2,1988-07-15
1988,8,693.8,1988-08-15
1988,9,686.4,1988-09-15
1988,10,706.4,1988-10-15
1988,11,715.2,1988-11-15
1988,12,771.4,1988-12-15
1989,1,821.2,1989-01-15
1989,2,832.3,1989-02-15
1989,3,979.5,1989-03-15
1989,4,949.1,1989-04-15
1989,5,1011.9,1989-05-15
1989,6,996.4,1989-06-15
1989,7,906.1,1989-07-15
1989,8,951.5,1989-08-15
1989,9,1029.4,1989-09-15
1989,10,1088.8,1989-10-15
1989,11,1136.6,1989-11-15
1989,12,1082.8,1989-12-15
1990,1,1021.6,1990-01-15
1990,2,1002.2,1990-02-15
1990,3,1041.1,1990-03-15
1990,4,1111.6,1990-04-15
1990,5,1127.1,1990-05-15
1990,6,1121.9,1990-06-15
1990,7,1028.3,1990-07-15
1990,8,1054.5,1990-08-15
1990,9,993.2,1990-09-15
1990,10,935.4,1990-10-15
1990,11,885.0,1990-11-15
1990,12,881.4,1990-12-15
1991,1,820.5,1991-01-15
1991,2,814.7,1991-02-15
1991,3,1019.3,1991-03-15
1991,4,996.5,1991-04-15
1991,5,973.6,1991-05-15
1991,6,1351.0,1991-06-15
1991,7,1332.9,1991-07-15
1991,8,1133.7,1991-08-15
1991,9,989.3,1991-09-15
1991,10,952.4,1991-10-15
1991,11,943.3,1991-11-15
1991,12,895.6,1991-12-15
1992,1,893.2,1992-01-15
1992,2,924.4,1992-02-15
1992,3,854.2,1992-03-15
1992,4,772.1,1992-04-15
1992,5,799.2,1992-05-15
1992,6,731.1,1992-06-15
1992,7,684.8,1992-07-15
1992,8,689.4,1992-08-15
1992,9,705.9,1992-09-15
1992,10,669.6,1992-10-15
1992,11,684.1,1992-11-15
1992,12,643.2,1992-12-15
1993,1,655.8,1993-01-15
1993,2,658.1,1993-02-15
1993,3,688.8,1993-03-15
1993,4,648.3,1993-04-15
1993,5,629.9,1993-05-15
1993,6,612.3,1993-06-15
1993,7,599.7,1993-07-15
1993,8,601.5,1993-08-15
1993,9,587.4,1993-09-15
1993,10,584.7,1993-10-15
1993,11,584.8,1993-11-15
1993,12,587.0,1993-12-15
1994,1,581.7,1994-01-15
1994,2,626.3,1994-02-15
1994,3,621.9,1994-03-15
1994,4,625.5,1994-04-15
1994,5,607.0,1994-05-15
1994,6,602.3,1994-06-15
1994,7,582.0,1994-07-15
1994,8,563.1,1994-08-15
1994,9,547.7,1994-09-15
1994,10,557.0,1994-10-15
1994,11,556.7,1994-11-15
1994,12,560.8,1994-12-15
1995,1,546.5,1995-01-15
1995,2,536.6,1995-02-15
1995,3,554.7,1995-03-15
1995,4,542.6,1995-04-15
1995,5,534.5,1995-05-15
1995,6,536.1,1995-06-15
1995,7,534.5,1995-07-15
1995,8,526.7,1995-08-15
1995,9,523.0,1995-09-15
1995,10,526.1,1995-10-15
1995,11,522.0,1995-11-15
1995,12,517.8,1995-12-15
1996,1,516.3,1996-01-15
1996,2,502.2,1996-02-15
1996,3,503.6,1996-03-15
1996,4,500.8,1996-04-15
1996,5,504.2,1996-05-15
1996,6,501.4,1996-06-15
1996,7,499.3,1996-07-15
1996,8,502.1,1996-08-15
1996,9,509.7,1996-09-15
1996,10,518.9,1996-10-15
1996,11,523.5,1996-11-15
1996,12,516.6,1996-12-15
1997,1,506.7,1997-01-15
1997,2,498.3,1997-02-15
1997,3,497.5,1997-03-15
1997,4,505.2,1997-04-15
1997,5,494.6,1997-05-15
1997,6,494.6,1997-06-15
1997,7,499.4,1997-07-15
1997,8,486.3,1997-08-15
1997,9,492.6,1997-09-15
1997,10,504.4,1997-10-15
1997,11,520.8,1997-11-15
1997,12,510.8,1997-12-15
1998,1,509.4,1998-01-15
1998,2,508.7,1998-02-15
1998,3,501.9,1998-03-15
1998,4,561.0,1998-04-15
1998,5,601.2,1998-05-15
1998,6,588.2,1998-06-15
1998,7,564.8,1998-07-15
1998,8,599.1,1998-08-15
1998,9,567.3,1998-09-15
1998,10,543.3,1998-10-15
1998,11,556.2,1998-11-15
1998,12,586.4,1998-12-15
1999,1,624.5,1999-01-15
1999,2,631.0,1999-02-15
1999,3,619.1,1999-03-15
1999,4,603.1,1999-04-15
1999,5,613.3,1999-05-15
1999,6,588.1,1999-06-15
1999,7,574.7,1999-07-15
1999,8,634.7,1999-08-15
1999,9,691.6,1999-09-15
1999,10,723.2,1999-10-15
1999,11,739.0,1999-11-15
1999,12,761.1,1999-12-15
2000,1,737.3,2000-01-15
2000,2,766.2,2000-02-15
2000,3,807.3,2000-03-15
2000,4,797.8,2000-04-15
2000,5,858.0,2000-05-15
2000,6,912.5,2000-06-15
2000,7,969.0,2000-07-15
2000,8,922.6,2000-08-15
2000,9,889.2,2000-09-15
2000,10,826.8,2000-10-15
2000,11,902.4,2000-11-15
2000,12,870.2,2000-12-15
2001,1,833.0,2001-01-15
2001,2,773.1,2001-02-15
2001,3,735.1,2001-03-15
2001,4,897.4,2001-04-15
2001,5,814.6,2001-05-15
2001,6,791.9,2001-06-15
2001,7,774.0,2001-07-15
2001,8,827.0,2001-08-15
2001,9,818.9,2001-09-15
2001,10,863.7,2001-10-15
2001,11,809.5,2001-11-15
2001,12,786.6,2001-12-15
2002,1,867.4,2002-01-15
2002,2,780.1,2002-02-15
2002,3,813.0,2002-03-15
2002,4,819.2,2002-04-15
2002,5,813.7,2002-05-15
2002,6,792.9,2002-06-15
2002,7,838.3,2002-07-15
2002,8,902.6,2002-08-15
2002,9,854.4,2002-09-15
2002,10,836.2,2002-10-15
2002,11,880.1,2002-11-15
2002,12,860.0,2002-12-15
2003,1,831.8,2003-01-15
2003,2,831.6,2003-02-15
2003,3,819.8,2003-03-15
2003,4,843.3,2003-04-15
2003,5,861.4,2003-05-15
2003,6,923.6,2003-06-15
2003,7,866.6,2003-07-15
2003,8,844.0,2003-08-15
2003,9,813.0,2003-09-15
2003,10,845.0,2003-10-15
2003,11,1039.4,2003-11-15
2003,12,845.2,2003-12-15
2004,1,855.6,2004-01-15
2004,2,769.0,2004-02-15
2004,3,718.0,2004-03-15
2004,4,692.3,2004-04-15
2004,5,664.2,2004-05-15
2004,6,662.2,2004-06-15
2004,7,699.6,2004-07-15
2004,8,681.5,2004-08-15
2004,9,659.2,2004-09-15
2004,10,599.0,2004-10-15
2004,11,670.7,2004-11-15
2004,12,651.4,2004-12-15
2005,1,746.2,2005-01-15
2005,2,678.3,2005-02-15
2005,3,661.1,2005-03-15
2005,4,636.5,2005-04-15
2005,5,696.2,2005-05-15
2005,6,646.0,2005-06-15
2005,7,656.6,2005-07-15
2005,8,683.8,2005-08-15
2005,9,756.4,2005-09-15
2005,10,627.6,2005-10-15
2005,11,597.1,2005-11-15
2005,12,599.1,2005-12-15
2006,1,583.9,2006-01-15
2006,2,548.8,2006-02-15
2006,3,524.4,2006-03-15
2006,4,515.4,2006-04-15
2006,5,502.6,2006-05-15
2006,6,500.9,2006-06-15
2006,7,516.1,2006-07-15
2006,8,517.4,2006-08-15
2006,9,513.2,2006-09-15
2006,10,494.1,2006-10-15
2006,11,498.9,2006-11-15
2006,12,551.7,2006-12-15
2007,1,496.3,2007-01-15
2007,2,496.4,2007-02-15
2007,3,484.5,2007-03-15
2007,4,466.0,2007-04-15
2007,5,460.0,2007-05-15
2007,6,458.5,2007-06-15
2007,7,458.9,2007-07-15
2007,8,461.6,2007-08-15
2007,9,453.6,2007-09-15
2007,10,455.0,2007-10-15
2007,11,463.0,2007-11-15
2007,12,451.3,2007-12-15
2008,1,462.3,2008-01-15
2008,2,464.7,2008-02-15
2008,3,464.3,2008-03-15
2008,4,465.2,2008-04-15
2008,5,467.5,2008-05-15
2008,6,462.8,2008-06-15
2008,7,452.3,2008-07-15
2008,8,439.7,2008-08-15
2008,9,431.2,2008-09-15
2008,10,429.7,2008-10-15
2008,11,421.3,2008-11-15
2008,12,416.7,2008-12-15
2009,1,412.1,2009-01-15
2009,2,406.4,2009-02-15
2009,3,399.4,2009-03-15
2009,4,390.6,2009-04-15
2009,5,385.8,2009-05-15
2009,6,386.4,2009-06-15
2009,7,384.0,2009-07-15
2009,8,387.1,2009-08-15
2009,9,381.0,2009-09-15
2009,10,379.3,2009-10-15
2009,11,382.1,2009-11-15
2009,12,378.3,2009-12-15
2010,1,391.2,2010-01-15
2010,2,424.8,2010-02-15
2010,3,437.1,2010-03-15
2010,4,464.4,2010-04-15
2010,5,448.8,2010-05-15
2010,6,454.3,2010-06-15
2010,7,455.6,2010-07-15
2010,8,469.4,2010-08-15
2010,9,469.4,2010-09-15
2010,10,472.5,2010-10-15
2010,11,484.4,2010-11-15
2010,12,493.7,2010-12-15
2011,1,478.8,2011-01-15
2011,2,476.6,2011-02-15
2011,3,509.1,2011-03-15
2011,4,560.7,2011-04-15
2011,5,525.6,2011-05-15
2011,6,592.1,2011-06-15
2011,7,566.2,2011-07-15
2011,8,559.5,2011-08-15
2011,9,562.5,2011-09-15
2011,10,583.7,2011-10-15
2011,11,548.1,2011-11-15
2011,12,510.9,2011-12-15
2012,1,534.7,2012-01-15
2012,2,570.4,2012-02-15
2012,3,648.5,2012-03-15
2012,4,557.3,2012-04-15
2012,5,552.8,2012-05-15
2012,6,587.9,2012-06-15
2012,7,661.6,2012-07-15
2012,8,649.6,2012-08-15
2012,9,609.8,2012-09-15
2012,10,612.3,2012-10-15
2012,11,607.5,2012-11-15
2012,12,594.2,2012-12-15
2013,1,573.6,2013-01-15
2013,2,568.6,2013-02-15
2013,3,604.4,2013-03-15
2013,4,598.7,2013-04-15
2013,5,673.7,2013-05-15
2013,6,682.6,2013-06-15
2013,7,657.1,2013-07-15
2013,8,645.0,2013-08-15
2013,9,635.1,2013-09-15
2013,10,603.2,2013-10-15
2013,11,615.7,2013-11-15
2013,12,639.8,2013-12-15
2014,1,641.6,2014-01-15
2014,2,682.6,2014-02-15
2014,3,665.6,2014-03-15
2014,4,653.0,2014-04-15
2014,5,629.3,2014-05-15
2014,6,666.0,2014-06-15
2014,7,645.9,2014-07-15
2014,8,618.6,2014-08-15
2014,9,647.6,2014-09-15
2014,10,646.3,2014-10-15
2014,11,658.0,2014-11-15
2014,12,715.3,2014-12-15
2015,1,677.3,2015-01-15
2015,2,673.6,2015-02-15
2015,3,715.9,2015-03-15
2015,4,692.7,2015-04-15
2015,5,654.7,2015-05-15
2015,6,662.3,2015-06-15
2015,7,627.6,2015-07-15
2015,8,619.5,2015-08-15
2015,9,621.8,2015-09-15
2015,10,617.1,2015-10-15
2015,11,613.1,2015-11-15
2015,12,595.8,2015-12-15
2016,1,562.2,2016-01-15
2016,2,536.2,2016-02-15
2016,3,543.2,2016-03-15
2016,4,542.1,2016-04-15
2016,5,527.1,2016-05-15
2016,6,508.7,2016-06-15
2016,7,516.2,2016-07-15
2016,8,500.2,2016-08-15
2016,9,497.2,2016-09-15
2016,10,477.1,2016-10-15
2016,11,470.5,2016-11-15
2016,12,464.0,2016-12-15
2017,1,452.2,2017-01-15
2017,2,447.9,2017-02-15
2017,3,439.5,2017-03-15
2017,4,459.5,2017-04-15
2017,5,452.3,2017-05-15
2017,6,440.5,2017-06-15
2017,7,456.1,2017-07-15
2017,8,478.4,2017-08-15
2017,9,497.5,2017-09-15
2017,10,478.3,2017-10-15
2017,11,450.8,2017-11-15
2017,12,444.3,2017-12-15
2018,1,436.2,2018-01-15
2018,2,432.3,2018-02-15
2018,3,435.6,2018-03-15
2018,4,425.7,2018-04-15
2018,5,426.9,2018-05-15
2018,6,416.6,2018-06-15
2018,7,416.1,2018-07-15
2018,8,417.7,2018-08-15
2018,9,413.3,2018-09-15
2018,10,407.3,2018-10-15
2018,11,415.6,2018-11-15
2018,12,416.8,2018-12-15
2019,1,425.6,2019-01-15
2019,2,416.9,2019-02-15
2019,3,404.2,2019-03-15
2019,4,403.3,2019-04-15
2019,5,427.4,2019-05-15
2019,6,411.6,2019-06-15
2019,7,412.1,2019-07-15
2019,8,410.7,2019-08-15
2019,9,400.1,2019-09-15
2019,10,400.9,2019-10-15
2019,11,397.5,2019-11-15
2019,12,400.6,2019-12-15
2020,1,409.4,2020-01-15
2020,2,400.6,2020-02-15
2020,3,395.0,2020-03-15
2020,4,398.4,2020-04-15
2020,5,401.5,2020-05-15
2020,6,399.8,2020-06-15
2020,7,404.7,2020-07-15
2020,8,406.1,2020-08-15
2020,9,403.4,2020-09-15
2020,10,405.2,2020-10-15
2020,11,402.2,2020-11-15
2020,12,423.6,2020-12-15
2021,1,420.7,2021-01-15
2021,2,442.2,2021-02-15
2021,3,417.8,2021-03-15
2021,4,413.1,2021-04-15
2021,5,417.4,2021-05-15
2021,6,421.6,2021-06-15
2021,7,435.0,2021-07-15
2021,8,432.6,2021-08-15
2021,9,431.4,2021-09-15
2021,10,429.7,2021-10-15
2021,11,445.5,2021-11-15
2021,12,439.7,2021-12-15
2022,1,563.7,2022-01-15
2022,2,575.6,2022-02-15
2022,3,587.8,2022-03-15
2022,4,600.1,2022-04-15
2022,5,612.6,2022-05-15
2022,6,625.2,2022-06-15
2022,7,637.9,2022-07-15
2022,8,650.7,2022-08-15
2022,9,663.6,2022-09-15
2022,10,663.6,2022-10-15
2022,11,650.7,2022-11-15
2022,12,637.9,2022-12-15
2023,1,625.2,2023-01-15
2023,2,612.6,2023-02-15
2023,3,600.1,2023-03-15
2023,4,587.8,2023-04-15
2023,5,575.6,2023-05-15
2023,6,563.7,2023-06-15
2023,7,552.0,2023-07-15
2023,8,540.6,2023-08-15
2023,9,529.5,2023-09-15
2023,10,518.7,2023-10-15
2023,11,508.2,2023-11-15
2023,12,498.1,2023-12-15
2024,1,488.4,2024-01-15
2024,2,479.1,2024-02-15
2024,3,470.2,2024-03-15
2024,4,461.8,2024-04-15
2024,5,453.9,2024-05-15
2024,6,446.4,2024-06-15
2024,7,439.5,2024-07-15
2024,8,433.0,2024-08-15
2024,9,427.1,2024-09-15
2024,10,421.8,2024-10-15
2024,11,417.0,2024-11-15
2024,12,412.8,2024-12-15
2025,1,409.2,2025-01-15
2025,2,406.2,2025-02-15
2025,3,403.7,2025-03-15
2025,4,401.9,2025-04-15
2025,5,400.7,2025-05-15
2025,6,400.1,2025-06-15
2025,7,400.1,2025-07-15
2025,8,400.7,2025-08-15
2025,9,401.9,2025-09-15
2025,10,403.7,2025-10-15
2025,11,406.2,2025-11-15
2025,12,409.2,2025-12-15
2026,1,412.8,2026-01-15
2026,2,417.0,2026-02-15
2026,3,421.8,2026-03-15
2026,4,427.1,2026-04-15
2026,5,433.0,2026-05-15
2026,6,439.5,2026-06-15
2026,7,446.4,2026-07-15
2026,8,453.9,2026-08-15
2026,9,461.8,2026-09-15
2026,10,470.2,2026-10-15
2026,11,479.1,2026-11-15
2026,12,488.4,2026-12-15
2027,1,498.1,2027-01-15
2027,2,508.2,2027-02-15
2027,3,518.7,2027-03-15
2027,4,529.5,2027-04-15
2027,5,540.6,2027-05-15
2027,6,552.0,2027-06-15
2027,7,563.7,2027-07-15
2027,8,575.6,2027-08-15
2027,9,587.8,2027-09-15
2027,10,600.1,2027-10-15
2027,11,612.6,2027-11-15
2027,12,625.2,2027-12-15
2028,1,637.9,2028-01-15
2028,2,650.7,2028-02-15
2028,3,663.6,2028-03-15
2028,4,663.6,2028-04-15
2028,5,650.7,2028-05-15
2028,6,637.9,2028-06-15
2028,7,625.2,2028-07-15
2028,8,612.6,2028-08-15
2028,9,600.1,2028-09-15
2028,10,587.8,2028-10-15
2028,11,575.6,2028-11-15
2028,12,563.7,2028-12-15
2029,1,552.0,2029-01-15
2029,2,540.6,2029-02-15
2029,3,529.5,2029-03-15
2029,4,518.7,2029-04-15
2029,5,508.2,2029-05-15
2029,6,498.1,2029-06-15
2029,7,488.4,2029-07-15
2029,8,479.1,2029-08-15
2029,9,470.2,2029-09-15
2029,10,461.8,2029-10-15
2029,11,453.9,2029-11-15
2029,12,446.4,2029-12-15
2030,1,439.5,2030-01-15
2030,2,433.0,2030-02-15
2030,3,427.1,2030-03-15
2030,4,421.8,2030-04-15
2030,5,417.0,2030-05-15
2030,6,412.8,2030-06-15
2030,7,409.2,2030-07-15
2030,8,406.2,2030-08-15
2030,9,403.7,2030-09-15
2030,10,401.9,2030-10-15
2030,11,400.7,2030-11-15
2030,12,400.1,2030-12-15
